Column1,Country,Year,Series,Value
"Total, all countries or areas1990","Total, all countries or areas",1990,Primary energy production (petajoules),357639
"Total, all countries or areas1995","Total, all countries or areas",1995,Primary energy production (petajoules),377236
"Total, all countries or areas2000","Total, all countries or areas",2000,Primary energy production (petajoules),408238
"Total, all countries or areas2005","Total, all countries or areas",2005,Primary energy production (petajoules),476469
"Total, all countries or areas2010","Total, all countries or areas",2010,Primary energy production (petajoules),530321
"Total, all countries or areas2013","Total, all countries or areas",2013,Primary energy production (petajoules),559530
"Total, all countries or areas2014","Total, all countries or areas",2014,Primary energy production (petajoules),567004
"Total, all countries or areas2015","Total, all countries or areas",2015,Primary energy production (petajoules),572353
"Total, all countries or areas1990","Total, all countries or areas",1990,Net imports [Imports - Exports - Bunkers] (petajoules),-7091
"Total, all countries or areas1995","Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8863
"Total, all countries or areas2000","Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),-10813
"Total, all countries or areas2005","Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),-13751
"Total, all countries or areas2010","Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),-13098
"Total, all countries or areas2013","Total, all countries or areas",2013,Net imports [Imports - Exports - Bunkers] (petajoules),-18406
"Total, all countries or areas2014","Total, all countries or areas",2014,Net imports [Imports - Exports - Bunkers] (petajoules),-16670
"Total, all countries or areas2015","Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),-18196
"Total, all countries or areas1990","Total, all countries or areas",1990,Changes in stocks (petajoules),4140
"Total, all countries or areas1995","Total, all countries or areas",1995,Changes in stocks (petajoules),164
"Total, all countries or areas2000","Total, all countries or areas",2000,Changes in stocks (petajoules),-2930
"Total, all countries or areas2005","Total, all countries or areas",2005,Changes in stocks (petajoules),-289
"Total, all countries or areas2010","Total, all countries or areas",2010,Changes in stocks (petajoules),12
"Total, all countries or areas2013","Total, all countries or areas",2013,Changes in stocks (petajoules),374
"Total, all countries or areas2014","Total, all countries or areas",2014,Changes in stocks (petajoules),3205
"Total, all countries or areas2015","Total, all countries or areas",2015,Changes in stocks (petajoules),2469
"Total, all countries or areas1990","Total, all countries or areas",1990,Total supply (petajoules),346408
"Total, all countries or areas1995","Total, all countries or areas",1995,Total supply (petajoules),368210
"Total, all countries or areas2000","Total, all countries or areas",2000,Total supply (petajoules),400355
"Total, all countries or areas2005","Total, all countries or areas",2005,Total supply (petajoules),463007
"Total, all countries or areas2010","Total, all countries or areas",2010,Total supply (petajoules),517211
"Total, all countries or areas2013","Total, all countries or areas",2013,Total supply (petajoules),540751
"Total, all countries or areas2014","Total, all countries or areas",2014,Total supply (petajoules),547128
"Total, all countries or areas2015","Total, all countries or areas",2015,Total supply (petajoules),551688
"Total, all countries or areas1990","Total, all countries or areas",1990,Supply per capita (gigajoules),62
"Total, all countries or areas1995","Total, all countries or areas",1995,Supply per capita (gigajoules),64
"Total, all countries or areas2000","Total, all countries or areas",2000,Supply per capita (gigajoules),65
"Total, all countries or areas2005","Total, all countries or areas",2005,Supply per capita (gigajoules),71
"Total, all countries or areas2010","Total, all countries or areas",2010,Supply per capita (gigajoules),75
"Total, all countries or areas2013","Total, all countries or areas",2013,Supply per capita (gigajoules),75
"Total, all countries or areas2014","Total, all countries or areas",2014,Supply per capita (gigajoules),75
"Total, all countries or areas2015","Total, all countries or areas",2015,Supply per capita (gigajoules),75
Africa1990,Africa,1990,Primary energy production (petajoules),27878
Africa1995,Africa,1995,Primary energy production (petajoules),32055
Africa2000,Africa,2000,Primary energy production (petajoules),37184
Africa2005,Africa,2005,Primary energy production (petajoules),44963
Africa2010,Africa,2010,Primary energy production (petajoules),47676
Africa2013,Africa,2013,Primary energy production (petajoules),45533
Africa2014,Africa,2014,Primary energy production (petajoules),45152
Africa2015,Africa,2015,Primary energy production (petajoules),45242
Africa1990,Africa,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-12213
Africa1995,Africa,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-13034
Africa2000,Africa,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-16304
Africa2005,Africa,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-20474
Africa2010,Africa,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-19455
Africa2013,Africa,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-15069
Africa2014,Africa,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-13414
Africa2015,Africa,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-13162
Africa1990,Africa,1990,Changes in stocks (petajoules),-10
Africa1995,Africa,1995,Changes in stocks (petajoules),291
Africa2000,Africa,2000,Changes in stocks (petajoules),31
Africa2005,Africa,2005,Changes in stocks (petajoules),10
Africa2010,Africa,2010,Changes in stocks (petajoules),-63
Africa2013,Africa,2013,Changes in stocks (petajoules),-47
Africa2014,Africa,2014,Changes in stocks (petajoules),252
Africa2015,Africa,2015,Changes in stocks (petajoules),-43
Africa1990,Africa,1990,Total supply (petajoules),15674
Africa1995,Africa,1995,Total supply (petajoules),18730
Africa2000,Africa,2000,Total supply (petajoules),20849
Africa2005,Africa,2005,Total supply (petajoules),24480
Africa2010,Africa,2010,Total supply (petajoules),28284
Africa2013,Africa,2013,Total supply (petajoules),30511
Africa2014,Africa,2014,Total supply (petajoules),31487
Africa2015,Africa,2015,Total supply (petajoules),32123
Africa1990,Africa,1990,Supply per capita (gigajoules),25
Africa1995,Africa,1995,Supply per capita (gigajoules),26
Africa2000,Africa,2000,Supply per capita (gigajoules),26
Africa2005,Africa,2005,Supply per capita (gigajoules),27
Africa2010,Africa,2010,Supply per capita (gigajoules),27
Africa2013,Africa,2013,Supply per capita (gigajoules),27
Africa2014,Africa,2014,Supply per capita (gigajoules),27
Africa2015,Africa,2015,Supply per capita (gigajoules),27
North America1990,North America,1990,Primary energy production (petajoules),89464
North America1995,North America,1995,Primary energy production (petajoules),93298
North America2000,North America,2000,Primary energy production (petajoules),96207
North America2005,North America,2005,Primary energy production (petajoules),97911
North America2010,North America,2010,Primary energy production (petajoules),100215
North America2013,North America,2013,Primary energy production (petajoules),107868
